crim,zn,indus,rm,age,tax,ptratio,black,population,families,median_home_value,median_income,sales,county_id
0.00605859461970737,18.59782208888864,2.3328487792132697,6.427366474958892,63.48906106787153,287.4396020116385,15.576491228709115,430.3933166120995,1013,223,236863,68094,49698.46,100
0.026477154592532734,0.0,7.44645162520769,7.459822178313996,67.9926422046336,269.70250156956126,17.735742540613707,342.64509397080616,717,191,210154,41184,49855.14,101
0.029460265604586058,0.0,7.088689040280582,7.653638681401112,67.34406606151198,227.17036051910586,17.415979315574237,461.20194505238084,793,239,355007,67994,45188.91,102
0.030490875887586765,0.0,1.9175248039508643,6.989330289084884,46.94017840410326,232.0027483598608,17.14216274427979,370.84153511929907,2042,542,344216,83313,44064.25,103
0.06997744031127852,0.0,2.067995239054523,7.448834493140841,58.16216620172323,217.67091804365174,18.868464223533465,392.5755232762352,1118,306,408634,88335,41128.99,104
0.029119713866774612,0.0,2.109008323922576,6.868456661822827,58.52013516872519,221.44429512495103,19.7821492499679,389.1635890470917,1736,461,269232,71332,47559.16,105
0.08947653814922234,12.558662444864687,7.559060683521547,5.4631551856962375,63.28048193672413,277.87403455309885,14.82490490196017,403.8682636244864,1128,312,261032,54370,47118.73,106
0.15662467083936885,10.564654689693437,7.2796055776120605,7.364537259273023,88.99066076205682,298.08133816089014,14.968937804499836,372.83303434528716,1192,295,281618,65287,53045.93,107
0.20407756784965453,12.990527488233528,8.162540074315602,5.803035168414396,98.52272661455348,308.26907330627836,13.787134575893253,408.3913730526966,4624,1155,176566,44521,53831.25,108
0.1765145452378625,12.837678111304587,7.7203662522305025,5.956764001507539,87.0956447632268,286.29428823611505,14.621295298016285,382.78005609953414,3851,904,185318,58023,58419.43,109
0.2487688127171921,11.6726263715519,8.04986942581226,6.375786661017878,99.81214791607722,305.6613491954799,15.159383866492307,363.2302767997219,3068,829,149935,35436,52452.41,110
0.10168818151430013,12.565293273604327,7.517100302827585,6.055830747680797,84.69857423134714,345.07462096587363,15.776557251802156,384.68263048580104,1662,472,192796,42819,52216.95,111
0.09414137129078534,12.692071407703724,7.979730980470793,5.7728645996153904,41.49904671462592,338.3541162180894,14.743792608618463,388.0778899260953,21076,5510,225038,67329,57265.17,112
0.5728859384085114,0.0,8.875589832398346,6.074112786713465,61.24493309270369,296.04847273002855,22.189300740780165,398.7357815051413,1094,318,223995,47456,51177.74,113
0.6149462539729144,0.0,8.345826644991151,6.82986556634485,83.75840094139781,305.9667390229443,21.69997770767729,368.28080066339277,1574,460,161574,59324,53203.75,114
0.5520185380289074,0.0,8.027032746661055,5.865439400980927,56.10136374472955,288.37565928725087,20.109781593847202,385.9124164258877,1883,542,211079,38551,54611.81,115
1.0918372914382997,0.0,8.349361510943627,5.7116550713819345,28.833047775719418,296.68549453740985,20.52019487911773,382.3941964658002,2347,623,229875,69564,46869.5,116
0.7563843795862061,0.0,6.899029902874805,5.952744710077108,75.80029724842225,331.4902634327232,22.581700376145527,372.13695321218756,1236,332,175350,33377,49120.98,117
0.8569728302956117,0.0,7.268560105978882,5.74811586214055,34.973758954198814,296.2021892892411,19.46583395579407,317.606530520688,2387,650,189708,50469,48108.73,118
0.7603581147087974,0.0,8.217481010476469,6.1012746226320855,64.9334098843203,304.53323642563583,20.531218139974946,392.9651274255498,1644,438,181474,56681,51492.4,119
